datetime,y,ds
2016-01-01,434.2604583333333,2016-01-01
2016-01-02,435.92814583333336,2016-01-02
2016-01-03,426.3771875,2016-01-03
2016-01-04,429.88772916666665,2016-01-04
2016-01-05,433.34181249999995,2016-01-05
2016-01-06,431.2762152777778,2016-01-06
2016-01-07,449.266375,2016-01-07
2016-01-08,455.7495902777778,2016-01-08
2016-01-09,450.56411111111106,2016-01-09
2016-01-10,443.65609722222223,2016-01-10
2016-01-11,447.9187777777778,2016-01-11
2016-01-12,446.44427777777776,2016-01-12
2016-01-13,428.98538888888885,2016-01-13
2016-01-14,431.2552083333333,2016-01-14
2016-01-15,402.6854513888889,2016-01-15
2016-01-16,370.46590972222225,2016-01-16
2016-01-17,383.52522916666663,2016-01-17
2016-01-18,380.7814236111111,2016-01-18
2016-01-19,381.9959652777777,2016-01-19
2016-01-20,393.18020138888886,2016-01-20
2016-01-21,414.14637500000003,2016-01-21
2016-01-22,393.7449027777778,2016-01-22
2016-01-23,392.5679652777778,2016-01-23
2016-01-24,396.1735,2016-01-24
2016-01-25,395.575875,2016-01-25
2016-01-26,393.2938194444444,2016-01-26
2016-01-27,394.50850694444443,2016-01-27
2016-01-28,383.7730902777778,2016-01-28
2016-01-29,375.84334722222223,2016-01-29
2016-01-30,378.23270833333333,2016-01-30
2016-01-31,378.8548402777778,2016-01-31
2016-02-01,373.6446041666667,2016-02-01
2016-02-02,373.48466666666667,2016-02-02
2016-02-03,371.45980555555553,2016-02-03
2016-02-04,377.6624861111111,2016-02-04
2016-02-05,387.0424375,2016-02-05
2016-02-06,375.9039722222222,2016-02-06
2016-02-07,375.6959444444445,2016-02-07
2016-02-08,375.7758958333334,2016-02-08
2016-02-09,373.51275,2016-02-09
2016-02-10,377.7077638888889,2016-02-10
2016-02-11,377.8819791666667,2016-02-11
2016-02-12,380.14584722222224,2016-02-12
2016-02-13,385.20899305555554,2016-02-13
2016-02-14,399.93037499999997,2016-02-14
2016-02-15,402.9090763888889,2016-02-15
2016-02-16,403.2046319444445,2016-02-16
2016-02-17,414.5643819444444,2016-02-17
2016-02-18,419.27738194444447,2016-02-18
2016-02-19,419.9338680555556,2016-02-19
2016-02-20,429.7743263888889,2016-02-20
2016-02-21,437.97732638888886,2016-02-21
2016-02-22,437.2022152777777,2016-02-22
2016-02-23,424.9502013888889,2016-02-23
2016-02-24,419.41518055555554,2016-02-24
2016-02-25,421.7619652777778,2016-02-25
2016-02-26,423.34191666666663,2016-02-26
2016-02-27,431.5573125,2016-02-27
2016-02-28,427.5264166666667,2016-02-28
2016-02-29,435.88785416666667,2016-02-29
2016-03-01,433.3715208333333,2016-03-01
2016-03-02,429.6597083333333,2016-03-02
2016-03-03,418.7299375,2016-03-03
2016-03-04,416.66993055555554,2016-03-04
2016-03-05,398.8467986111111,2016-03-05
2016-03-06,394.93468055555553,2016-03-06
2016-03-07,405.4939861111111,2016-03-07
2016-03-08,411.24315972222223,2016-03-08
2016-03-09,410.3666388888889,2016-03-09
2016-03-10,412.0041458333333,2016-03-10
2016-03-11,418.37231944444443,2016-03-11
2016-03-12,412.8955833333333,2016-03-12
2016-03-13,410.3969652777778,2016-03-13
2016-03-14,412.85085416666664,2016-03-14
2016-03-15,415.46211805555555,2016-03-15
2016-03-16,415.4328611111111,2016-03-16
2016-03-17,418.0285763888889,2016-03-17
2016-03-18,413.4582777777778,2016-03-18
2016-03-19,407.3316319444445,2016-03-19
2016-03-20,410.2423888888889,2016-03-20
2016-03-21,409.83362500000004,2016-03-21
2016-03-22,416.0882638888889,2016-03-22
2016-03-23,417.2247638888889,2016-03-23
2016-03-24,416.0366041666666,2016-03-24
2016-03-25,415.59256944444445,2016-03-25
2016-03-26,416.8383611111111,2016-03-26
2016-03-27,419.75419444444447,2016-03-27
2016-03-28,422.9484236111111,2016-03-28
2016-03-29,417.3878402777778,2016-03-29
2016-03-30,412.8325486111111,2016-03-30
2016-03-31,415.5612986111111,2016-03-31
2016-04-01,416.1310138888889,2016-04-01
2016-04-02,420.067375,2016-04-02
2016-04-03,419.26240277777777,2016-04-03
2016-04-04,419.2601944444445,2016-04-04
2016-04-05,422.0043333333333,2016-04-05
2016-04-06,422.6414513888889,2016-04-06
2016-04-07,421.8229444444445,2016-04-07
2016-04-08,422.06776388888886,2016-04-08
2016-04-09,416.34326388888894,2016-04-09
2016-04-10,419.14023611111105,2016-04-10
2016-04-11,421.20102777777777,2016-04-11
2016-04-12,425.58687499999996,2016-04-12
2016-04-13,425.13768055555556,2016-04-13
2016-04-14,424.5950486111111,2016-04-14
2016-04-15,427.33246527777777,2016-04-15
2016-04-16,430.33359722222224,2016-04-16
2016-04-17,428.9736736111111,2016-04-17
2016-04-18,427.9377777777778,2016-04-18
2016-04-19,428.6153194444445,2016-04-19
2016-04-20,438.0517638888889,2016-04-20
2016-04-21,444.9101041666667,2016-04-21
2016-04-22,447.8554444444444,2016-04-22
2016-04-23,449.3195694444445,2016-04-23
2016-04-24,455.30713194444445,2016-04-24
2016-04-25,460.72968055555555,2016-04-25
2016-04-26,466.1446597222223,2016-04-26
2016-04-27,461.46886111111115,2016-04-27
2016-04-28,444.8707222222222,2016-04-28
2016-04-29,451.0267083333333,2016-04-29
2016-04-30,453.66718055555555,2016-04-30
2016-05-01,451.26271527777783,2016-05-01
2016-05-02,448.1220763888889,2016-05-02
2016-05-03,447.35660416666667,2016-05-03
2016-05-04,449.6738541666667,2016-05-04
2016-05-05,448.08686805555556,2016-05-05
2016-05-06,452.67214583333333,2016-05-06
2016-05-07,459.4894861111111,2016-05-07
2016-05-08,458.1408333333334,2016-05-08
2016-05-09,459.33630555555555,2016-05-09
2016-05-10,456.9329861111111,2016-05-10
2016-05-11,452.94628472222223,2016-05-11
2016-05-12,451.7454305555556,2016-05-12
2016-05-13,455.9292361111111,2016-05-13
2016-05-14,456.69758333333334,2016-05-14
2016-05-15,456.9752569444444,2016-05-15
2016-05-16,456.65138194444444,2016-05-16
2016-05-17,454.26959027777775,2016-05-17
2016-05-18,455.22682638888887,2016-05-18
2016-05-19,449.9195972222222,2016-05-19
2016-05-20,441.7937777777778,2016-05-20
2016-05-21,442.9667638888889,2016-05-21
2016-05-22,440.0875138888889,2016-05-22
2016-05-23,440.76175,2016-05-23
2016-05-24,444.7926666666667,2016-05-24
2016-05-25,447.9816319444445,2016-05-25
2016-05-26,451.89529166666665,2016-05-26
2016-05-27,473.3033819444444,2016-05-27
2016-05-28,498.00016666666664,2016-05-28
2016-05-29,523.6238402777777,2016-05-29
2016-05-30,531.8580000000001,2016-05-30
2016-05-31,534.29,2016-05-31
2016-06-01,534.1626527777778,2016-06-01
