datetime,btc,ds
2015-10-08 13:00:00,245.0,2015-10-08 13:00:00
2015-10-08 14:00:00,245.0,2015-10-08 14:00:00
2015-10-08 15:00:00,244.92,2015-10-08 15:00:00
2015-10-08 16:00:00,244.25,2015-10-08 16:00:00
2015-10-08 17:00:00,244.99,2015-10-08 17:00:00
2015-10-08 18:00:00,244.0,2015-10-08 18:00:00
2015-10-08 19:00:00,244.0,2015-10-08 19:00:00
2015-10-08 20:00:00,244.0,2015-10-08 20:00:00
2015-10-08 21:00:00,243.95,2015-10-08 21:00:00
2015-10-08 22:00:00,243.95,2015-10-08 22:00:00
2015-10-08 23:00:00,243.95,2015-10-08 23:00:00
2015-10-09 00:00:00,243.6,2015-10-09 00:00:00
2015-10-09 01:00:00,243.6,2015-10-09 01:00:00
2015-10-09 02:00:00,243.6,2015-10-09 02:00:00
2015-10-09 03:00:00,243.6,2015-10-09 03:00:00
2015-10-09 04:00:00,243.6,2015-10-09 04:00:00
2015-10-09 05:00:00,243.6,2015-10-09 05:00:00
2015-10-09 06:00:00,243.6,2015-10-09 06:00:00
2015-10-09 07:00:00,243.6,2015-10-09 07:00:00
2015-10-09 08:00:00,243.6,2015-10-09 08:00:00
2015-10-09 09:00:00,243.6,2015-10-09 09:00:00
2015-10-09 10:00:00,243.6,2015-10-09 10:00:00
2015-10-09 11:00:00,243.63,2015-10-09 11:00:00
2015-10-09 12:00:00,243.63,2015-10-09 12:00:00
2015-10-09 13:00:00,244.0,2015-10-09 13:00:00
2015-10-09 14:00:00,244.0,2015-10-09 14:00:00
2015-10-09 15:00:00,244.0,2015-10-09 15:00:00
2015-10-09 16:00:00,244.0,2015-10-09 16:00:00
2015-10-09 17:00:00,243.7,2015-10-09 17:00:00
2015-10-09 18:00:00,243.7,2015-10-09 18:00:00
2015-10-09 19:00:00,244.06,2015-10-09 19:00:00
2015-10-09 20:00:00,249.97,2015-10-09 20:00:00
2015-10-09 21:00:00,245.39,2015-10-09 21:00:00
2015-10-09 22:00:00,245.39,2015-10-09 22:00:00
2015-10-09 23:00:00,245.39,2015-10-09 23:00:00
2015-10-10 00:00:00,245.39,2015-10-10 00:00:00
2015-10-10 01:00:00,245.54,2015-10-10 01:00:00
2015-10-10 02:00:00,245.51,2015-10-10 02:00:00
2015-10-10 03:00:00,245.51,2015-10-10 03:00:00
2015-10-10 04:00:00,245.45,2015-10-10 04:00:00
2015-10-10 05:00:00,245.45,2015-10-10 05:00:00
2015-10-10 06:00:00,245.45,2015-10-10 06:00:00
2015-10-10 07:00:00,245.45,2015-10-10 07:00:00
2015-10-10 08:00:00,245.45,2015-10-10 08:00:00
2015-10-10 09:00:00,245.45,2015-10-10 09:00:00
2015-10-10 10:00:00,245.45,2015-10-10 10:00:00
2015-10-10 11:00:00,244.6,2015-10-10 11:00:00
2015-10-10 12:00:00,244.6,2015-10-10 12:00:00
2015-10-10 13:00:00,245.18,2015-10-10 13:00:00
2015-10-10 14:00:00,245.18,2015-10-10 14:00:00
2015-10-10 15:00:00,245.37,2015-10-10 15:00:00
2015-10-10 16:00:00,245.37,2015-10-10 16:00:00
2015-10-10 17:00:00,245.37,2015-10-10 17:00:00
2015-10-10 18:00:00,245.37,2015-10-10 18:00:00
2015-10-10 19:00:00,245.37,2015-10-10 19:00:00
2015-10-10 20:00:00,245.37,2015-10-10 20:00:00
2015-10-10 21:00:00,245.75,2015-10-10 21:00:00
2015-10-10 22:00:00,245.75,2015-10-10 22:00:00
2015-10-10 23:00:00,246.3,2015-10-10 23:00:00
2015-10-11 00:00:00,246.3,2015-10-11 00:00:00
2015-10-11 01:00:00,246.3,2015-10-11 01:00:00
2015-10-11 02:00:00,246.3,2015-10-11 02:00:00
2015-10-11 03:00:00,246.3,2015-10-11 03:00:00
2015-10-11 04:00:00,246.3,2015-10-11 04:00:00
2015-10-11 05:00:00,246.3,2015-10-11 05:00:00
2015-10-11 06:00:00,246.3,2015-10-11 06:00:00
2015-10-11 07:00:00,246.3,2015-10-11 07:00:00
2015-10-11 08:00:00,246.3,2015-10-11 08:00:00
2015-10-11 09:00:00,246.3,2015-10-11 09:00:00
2015-10-11 10:00:00,246.3,2015-10-11 10:00:00
2015-10-11 11:00:00,246.3,2015-10-11 11:00:00
2015-10-11 12:00:00,246.3,2015-10-11 12:00:00
2015-10-11 13:00:00,246.3,2015-10-11 13:00:00
2015-10-11 14:00:00,246.3,2015-10-11 14:00:00
2015-10-11 15:00:00,246.3,2015-10-11 15:00:00
2015-10-11 16:00:00,246.5,2015-10-11 16:00:00
2015-10-11 17:00:00,248.24,2015-10-11 17:00:00
2015-10-11 18:00:00,248.24,2015-10-11 18:00:00
2015-10-11 19:00:00,248.24,2015-10-11 19:00:00
2015-10-11 20:00:00,248.24,2015-10-11 20:00:00
2015-10-11 21:00:00,247.77,2015-10-11 21:00:00
2015-10-11 22:00:00,248.24,2015-10-11 22:00:00
2015-10-11 23:00:00,249.5,2015-10-11 23:00:00
2015-10-12 00:00:00,249.0,2015-10-12 00:00:00
2015-10-12 01:00:00,249.0,2015-10-12 01:00:00
2015-10-12 02:00:00,249.0,2015-10-12 02:00:00
2015-10-12 03:00:00,248.98,2015-10-12 03:00:00
2015-10-12 04:00:00,248.71,2015-10-12 04:00:00
2015-10-12 05:00:00,248.71,2015-10-12 05:00:00
2015-10-12 06:00:00,248.71,2015-10-12 06:00:00
2015-10-12 07:00:00,248.71,2015-10-12 07:00:00
2015-10-12 08:00:00,248.71,2015-10-12 08:00:00
2015-10-12 09:00:00,248.71,2015-10-12 09:00:00
2015-10-12 10:00:00,248.71,2015-10-12 10:00:00
2015-10-12 11:00:00,247.72,2015-10-12 11:00:00
2015-10-12 12:00:00,247.72,2015-10-12 12:00:00
2015-10-12 13:00:00,247.62,2015-10-12 13:00:00
2015-10-12 14:00:00,247.62,2015-10-12 14:00:00
2015-10-12 15:00:00,247.62,2015-10-12 15:00:00
2015-10-12 16:00:00,247.91,2015-10-12 16:00:00
2015-10-12 17:00:00,247.62,2015-10-12 17:00:00
2015-10-12 18:00:00,247.62,2015-10-12 18:00:00
2015-10-12 19:00:00,247.6,2015-10-12 19:00:00
2015-10-12 20:00:00,247.6,2015-10-12 20:00:00
2015-10-12 21:00:00,247.6,2015-10-12 21:00:00
2015-10-12 22:00:00,247.6,2015-10-12 22:00:00
2015-10-12 23:00:00,247.6,2015-10-12 23:00:00
2015-10-13 00:00:00,247.24,2015-10-13 00:00:00
2015-10-13 01:00:00,247.1,2015-10-13 01:00:00
2015-10-13 02:00:00,245.75,2015-10-13 02:00:00
2015-10-13 03:00:00,245.75,2015-10-13 03:00:00
2015-10-13 04:00:00,245.75,2015-10-13 04:00:00
2015-10-13 05:00:00,245.75,2015-10-13 05:00:00
2015-10-13 06:00:00,246.4,2015-10-13 06:00:00
2015-10-13 07:00:00,248.0,2015-10-13 07:00:00
2015-10-13 08:00:00,248.3,2015-10-13 08:00:00
2015-10-13 09:00:00,248.3,2015-10-13 09:00:00
2015-10-13 10:00:00,248.3,2015-10-13 10:00:00
2015-10-13 11:00:00,252.87,2015-10-13 11:00:00
2015-10-13 12:00:00,251.45,2015-10-13 12:00:00
2015-10-13 13:00:00,251.45,2015-10-13 13:00:00
2015-10-13 14:00:00,251.35,2015-10-13 14:00:00
2015-10-13 15:00:00,250.8,2015-10-13 15:00:00
2015-10-13 16:00:00,250.28,2015-10-13 16:00:00
2015-10-13 17:00:00,250.0,2015-10-13 17:00:00
2015-10-13 18:00:00,249.92,2015-10-13 18:00:00
2015-10-13 19:00:00,250.35,2015-10-13 19:00:00
2015-10-13 20:00:00,250.35,2015-10-13 20:00:00
2015-10-13 21:00:00,250.35,2015-10-13 21:00:00
2015-10-13 22:00:00,250.0,2015-10-13 22:00:00
2015-10-13 23:00:00,250.42,2015-10-13 23:00:00
2015-10-14 00:00:00,251.08,2015-10-14 00:00:00
2015-10-14 01:00:00,251.0,2015-10-14 01:00:00
2015-10-14 02:00:00,251.0,2015-10-14 02:00:00
2015-10-14 03:00:00,251.0,2015-10-14 03:00:00
2015-10-14 04:00:00,250.7,2015-10-14 04:00:00
2015-10-14 05:00:00,250.89,2015-10-14 05:00:00
2015-10-14 06:00:00,250.89,2015-10-14 06:00:00
2015-10-14 07:00:00,251.0,2015-10-14 07:00:00
2015-10-14 08:00:00,251.15,2015-10-14 08:00:00
2015-10-14 09:00:00,251.15,2015-10-14 09:00:00
2015-10-14 10:00:00,251.15,2015-10-14 10:00:00
2015-10-14 11:00:00,251.15,2015-10-14 11:00:00
2015-10-14 12:00:00,251.15,2015-10-14 12:00:00
2015-10-14 13:00:00,251.53,2015-10-14 13:00:00
2015-10-14 14:00:00,251.53,2015-10-14 14:00:00
2015-10-14 15:00:00,253.0,2015-10-14 15:00:00
2015-10-14 16:00:00,253.63,2015-10-14 16:00:00
2015-10-14 17:00:00,254.55,2015-10-14 17:00:00
2015-10-14 18:00:00,254.32,2015-10-14 18:00:00
2015-10-14 19:00:00,253.92,2015-10-14 19:00:00
2015-10-14 20:00:00,254.19,2015-10-14 20:00:00
2015-10-14 21:00:00,254.07,2015-10-14 21:00:00
2015-10-14 22:00:00,254.19,2015-10-14 22:00:00
2015-10-14 23:00:00,253.0,2015-10-14 23:00:00
2015-10-15 00:00:00,253.0,2015-10-15 00:00:00
2015-10-15 01:00:00,253.0,2015-10-15 01:00:00
2015-10-15 02:00:00,255.0,2015-10-15 02:00:00
2015-10-15 03:00:00,254.59,2015-10-15 03:00:00
2015-10-15 04:00:00,254.59,2015-10-15 04:00:00
2015-10-15 05:00:00,255.9,2015-10-15 05:00:00
2015-10-15 06:00:00,255.9,2015-10-15 06:00:00
2015-10-15 07:00:00,255.9,2015-10-15 07:00:00
2015-10-15 08:00:00,253.64,2015-10-15 08:00:00
2015-10-15 09:00:00,255.47,2015-10-15 09:00:00
2015-10-15 10:00:00,255.47,2015-10-15 10:00:00
2015-10-15 11:00:00,255.47,2015-10-15 11:00:00
2015-10-15 12:00:00,255.47,2015-10-15 12:00:00
2015-10-15 13:00:00,255.47,2015-10-15 13:00:00
2015-10-15 14:00:00,255.45,2015-10-15 14:00:00
2015-10-15 15:00:00,255.31,2015-10-15 15:00:00
2015-10-15 16:00:00,255.0,2015-10-15 16:00:00
2015-10-15 17:00:00,255.4,2015-10-15 17:00:00
2015-10-15 18:00:00,256.25,2015-10-15 18:00:00
2015-10-15 19:00:00,258.86,2015-10-15 19:00:00
2015-10-15 20:00:00,256.33,2015-10-15 20:00:00
2015-10-15 21:00:00,255.2,2015-10-15 21:00:00
2015-10-15 22:00:00,255.2,2015-10-15 22:00:00
2015-10-15 23:00:00,255.31,2015-10-15 23:00:00
2015-10-16 00:00:00,255.31,2015-10-16 00:00:00
2015-10-16 01:00:00,255.13,2015-10-16 01:00:00
2015-10-16 02:00:00,256.63,2015-10-16 02:00:00
2015-10-16 03:00:00,257.19,2015-10-16 03:00:00
2015-10-16 04:00:00,258.98,2015-10-16 04:00:00
2015-10-16 05:00:00,258.98,2015-10-16 05:00:00
2015-10-16 06:00:00,258.98,2015-10-16 06:00:00
2015-10-16 07:00:00,256.21,2015-10-16 07:00:00
2015-10-16 08:00:00,256.21,2015-10-16 08:00:00
2015-10-16 09:00:00,260.0,2015-10-16 09:00:00
2015-10-16 10:00:00,259.2,2015-10-16 10:00:00
2015-10-16 11:00:00,259.2,2015-10-16 11:00:00
2015-10-16 12:00:00,261.5,2015-10-16 12:00:00
2015-10-16 13:00:00,263.0,2015-10-16 13:00:00
2015-10-16 14:00:00,263.0,2015-10-16 14:00:00
2015-10-16 15:00:00,265.42,2015-10-16 15:00:00
2015-10-16 16:00:00,268.83,2015-10-16 16:00:00
2015-10-16 17:00:00,268.66,2015-10-16 17:00:00
2015-10-16 18:00:00,269.99,2015-10-16 18:00:00
2015-10-16 19:00:00,265.7,2015-10-16 19:00:00
2015-10-16 20:00:00,263.05,2015-10-16 20:00:00
2015-10-16 21:00:00,263.1,2015-10-16 21:00:00
2015-10-16 22:00:00,263.25,2015-10-16 22:00:00
2015-10-16 23:00:00,264.0,2015-10-16 23:00:00
2015-10-17 00:00:00,264.38,2015-10-17 00:00:00
2015-10-17 01:00:00,265.18,2015-10-17 01:00:00
2015-10-17 02:00:00,270.0,2015-10-17 02:00:00
2015-10-17 03:00:00,270.0,2015-10-17 03:00:00
2015-10-17 04:00:00,274.6,2015-10-17 04:00:00
2015-10-17 05:00:00,270.91,2015-10-17 05:00:00
2015-10-17 06:00:00,274.58,2015-10-17 06:00:00
2015-10-17 07:00:00,269.87,2015-10-17 07:00:00
2015-10-17 08:00:00,274.19,2015-10-17 08:00:00
2015-10-17 09:00:00,274.19,2015-10-17 09:00:00
2015-10-17 10:00:00,274.19,2015-10-17 10:00:00
2015-10-17 11:00:00,274.19,2015-10-17 11:00:00
2015-10-17 12:00:00,274.14,2015-10-17 12:00:00
2015-10-17 13:00:00,274.14,2015-10-17 13:00:00
2015-10-17 14:00:00,274.0,2015-10-17 14:00:00
2015-10-17 15:00:00,273.5,2015-10-17 15:00:00
2015-10-17 16:00:00,271.16,2015-10-17 16:00:00
2015-10-17 17:00:00,271.16,2015-10-17 17:00:00
2015-10-17 18:00:00,270.0,2015-10-17 18:00:00
2015-10-17 19:00:00,268.0,2015-10-17 19:00:00
2015-10-17 20:00:00,267.71,2015-10-17 20:00:00
2015-10-17 21:00:00,270.0,2015-10-17 21:00:00
2015-10-17 22:00:00,272.47,2015-10-17 22:00:00
2015-10-17 23:00:00,272.47,2015-10-17 23:00:00
2015-10-18 00:00:00,274.39,2015-10-18 00:00:00
2015-10-18 01:00:00,274.5,2015-10-18 01:00:00
2015-10-18 02:00:00,271.65,2015-10-18 02:00:00
2015-10-18 03:00:00,269.26,2015-10-18 03:00:00
2015-10-18 04:00:00,274.22,2015-10-18 04:00:00
2015-10-18 05:00:00,274.22,2015-10-18 05:00:00
2015-10-18 06:00:00,274.45,2015-10-18 06:00:00
2015-10-18 07:00:00,274.45,2015-10-18 07:00:00
2015-10-18 08:00:00,274.66,2015-10-18 08:00:00
2015-10-18 09:00:00,274.66,2015-10-18 09:00:00
2015-10-18 10:00:00,272.44,2015-10-18 10:00:00
2015-10-18 11:00:00,272.44,2015-10-18 11:00:00
2015-10-18 12:00:00,272.44,2015-10-18 12:00:00
2015-10-18 13:00:00,272.44,2015-10-18 13:00:00
2015-10-18 14:00:00,268.5,2015-10-18 14:00:00
2015-10-18 15:00:00,268.75,2015-10-18 15:00:00
2015-10-18 16:00:00,267.75,2015-10-18 16:00:00
2015-10-18 17:00:00,267.75,2015-10-18 17:00:00
2015-10-18 18:00:00,264.02,2015-10-18 18:00:00
2015-10-18 19:00:00,264.02,2015-10-18 19:00:00
2015-10-18 20:00:00,264.02,2015-10-18 20:00:00
2015-10-18 21:00:00,268.46,2015-10-18 21:00:00
2015-10-18 22:00:00,268.46,2015-10-18 22:00:00
2015-10-18 23:00:00,268.46,2015-10-18 23:00:00
2015-10-19 00:00:00,268.46,2015-10-19 00:00:00
2015-10-19 01:00:00,268.46,2015-10-19 01:00:00
2015-10-19 02:00:00,269.99,2015-10-19 02:00:00
2015-10-19 03:00:00,269.99,2015-10-19 03:00:00
2015-10-19 04:00:00,269.99,2015-10-19 04:00:00
2015-10-19 05:00:00,269.99,2015-10-19 05:00:00
2015-10-19 06:00:00,269.99,2015-10-19 06:00:00
2015-10-19 07:00:00,269.99,2015-10-19 07:00:00
2015-10-19 08:00:00,269.99,2015-10-19 08:00:00
2015-10-19 09:00:00,269.99,2015-10-19 09:00:00
2015-10-19 10:00:00,269.99,2015-10-19 10:00:00
2015-10-19 11:00:00,269.99,2015-10-19 11:00:00
2015-10-19 12:00:00,268.81,2015-10-19 12:00:00
2015-10-19 13:00:00,267.39,2015-10-19 13:00:00
2015-10-19 14:00:00,267.89,2015-10-19 14:00:00
2015-10-19 15:00:00,268.5,2015-10-19 15:00:00
2015-10-19 16:00:00,274.77,2015-10-19 16:00:00
2015-10-19 17:00:00,270.0,2015-10-19 17:00:00
2015-10-19 18:00:00,268.51,2015-10-19 18:00:00
