datetime,y,ds
2016-05-09,9.819633757961784,2016-05-09
2016-05-10,9.595875,2016-05-10
2016-05-11,9.930520833333334,2016-05-11
2016-05-12,10.514430555555554,2016-05-12
2016-05-13,10.687868055555557,2016-05-13
2016-05-14,10.402152777777777,2016-05-14
2016-05-15,10.308930555555555,2016-05-15
2016-05-16,10.562576388888889,2016-05-16
2016-05-17,11.789701388888888,2016-05-17
2016-05-18,13.0975,2016-05-18
2016-05-19,14.062423611111111,2016-05-19
2016-05-20,14.304430555555557,2016-05-20
2016-05-21,13.512930555555554,2016-05-21
2016-05-22,14.048916666666665,2016-05-22
2016-05-23,14.037493055555556,2016-05-23
2016-05-24,13.04707638888889,2016-05-24
2016-05-25,12.536666666666665,2016-05-25
2016-05-26,12.548118055555555,2016-05-26
2016-05-27,11.438187500000002,2016-05-27
2016-05-28,11.44395138888889,2016-05-28
2016-05-29,12.242965277777778,2016-05-29
2016-05-30,12.550583333333334,2016-05-30
2016-05-31,13.215319444444445,2016-05-31
2016-06-01,13.996638888888889,2016-06-01
2016-06-02,13.925722222222223,2016-06-02
2016-06-03,13.773729166666667,2016-06-03
2016-06-04,13.823541666666667,2016-06-04
2016-06-05,13.834333333333332,2016-06-05
2016-06-06,13.957645833333332,2016-06-06
2016-06-07,14.153236111111111,2016-06-07
2016-06-08,14.552194444444444,2016-06-08
2016-06-09,14.50323611111111,2016-06-09
2016-06-10,14.249652777777778,2016-06-10
2016-06-11,13.991118055555555,2016-06-11
2016-06-12,14.65113888888889,2016-06-12
2016-06-13,16.605868055555558,2016-06-13
2016-06-14,18.202402777777777,2016-06-14
2016-06-15,18.405708333333333,2016-06-15
2016-06-16,19.758381944444444,2016-06-16
2016-06-17,17.569145833333334,2016-06-17
2016-06-18,12.834319444444446,2016-06-18
2016-06-19,12.3461875,2016-06-19
2016-06-20,11.750708333333334,2016-06-20
2016-06-21,12.053125,2016-06-21
2016-06-22,14.463756944444444,2016-06-22
2016-06-23,13.2579375,2016-06-23
2016-06-24,14.034465277777779,2016-06-24
2016-06-25,14.406631944444444,2016-06-25
2016-06-26,14.114611111111111,2016-06-26
2016-06-27,14.062256944444446,2016-06-27
2016-06-28,13.384923611111113,2016-06-28
2016-06-29,12.260743055555556,2016-06-29
2016-06-30,12.5716875,2016-06-30
2016-07-01,12.181770833333333,2016-07-01
2016-07-02,12.051881944444444,2016-07-02
2016-07-03,11.92495138888889,2016-07-03
2016-07-04,11.627749999999999,2016-07-04
2016-07-05,10.7435,2016-07-05
2016-07-06,11.236361111111112,2016-07-06
2016-07-07,10.252673611111112,2016-07-07
2016-07-08,10.667715277777777,2016-07-08
2016-07-09,11.354576388888889,2016-07-09
2016-07-10,11.03438888888889,2016-07-10
2016-07-11,10.775847222222223,2016-07-11
2016-07-12,10.837069444444444,2016-07-12
2016-07-13,10.754166666666666,2016-07-13
2016-07-14,11.16975,2016-07-14
2016-07-15,12.097541666666666,2016-07-15
2016-07-16,11.894069444444444,2016-07-16
2016-07-17,11.541,2016-07-17
2016-07-18,11.551430555555557,2016-07-18
2016-07-19,11.449701388888888,2016-07-19
2016-07-20,12.563729166666667,2016-07-20
2016-07-21,12.698152777777779,2016-07-21
2016-07-22,13.680611111111112,2016-07-22
2016-07-23,14.681923611111111,2016-07-23
2016-07-24,13.519465277777776,2016-07-24
2016-07-25,13.354,2016-07-25
2016-07-26,13.126840277777779,2016-07-26
2016-07-27,12.77525,2016-07-27
2016-07-28,12.924569444444446,2016-07-28
2016-07-29,12.909979166666666,2016-07-29
2016-07-30,12.922458333333333,2016-07-30
2016-07-31,12.32975,2016-07-31
2016-08-01,11.642673611111112,2016-08-01
2016-08-02,10.212479166666666,2016-08-02
2016-08-03,9.737409722222223,2016-08-03
2016-08-04,10.911138888888889,2016-08-04
2016-08-05,11.292243055555556,2016-08-05
2016-08-06,11.031965277777779,2016-08-06
2016-08-07,11.07526388888889,2016-08-07
2016-08-08,11.165111111111111,2016-08-08
2016-08-09,11.76104861111111,2016-08-09
2016-08-10,12.405999999999999,2016-08-10
2016-08-11,12.018256944444445,2016-08-11
2016-08-12,11.928555555555555,2016-08-12
2016-08-13,11.851909722222222,2016-08-13
2016-08-14,11.532979166666667,2016-08-14
2016-08-15,11.30226388888889,2016-08-15
2016-08-16,11.207569444444443,2016-08-16
2016-08-17,11.130875000000001,2016-08-17
2016-08-18,11.082847222222224,2016-08-18
2016-08-19,10.875041666666666,2016-08-19
2016-08-20,11.165819444444445,2016-08-20
2016-08-21,11.10398611111111,2016-08-21
2016-08-22,11.301270833333334,2016-08-22
2016-08-23,11.170409722222221,2016-08-23
2016-08-24,11.126986111111112,2016-08-24
2016-08-25,11.198472222222223,2016-08-25
2016-08-26,11.38888888888889,2016-08-26
2016-08-27,11.329326388888889,2016-08-27
2016-08-28,11.090826388888889,2016-08-28
2016-08-29,11.076236111111111,2016-08-29
2016-08-30,11.156465277777777,2016-08-30
2016-08-31,11.364854166666666,2016-08-31
2016-09-01,12.3033125,2016-09-01
2016-09-02,12.19773611111111,2016-09-02
2016-09-03,12.087145833333334,2016-09-03
2016-09-04,11.90017361111111,2016-09-04
2016-09-05,11.817055555555557,2016-09-05
2016-09-06,11.689902777777776,2016-09-06
2016-09-07,11.853013888888889,2016-09-07
2016-09-08,11.578368055555554,2016-09-08
2016-09-09,11.486298611111112,2016-09-09
2016-09-10,11.76186111111111,2016-09-10
2016-09-11,11.909256944444445,2016-09-11
2016-09-12,11.811347222222222,2016-09-12
2016-09-13,12.024312499999999,2016-09-13
2016-09-14,11.981131944444446,2016-09-14
2016-09-15,11.98673611111111,2016-09-15
2016-09-16,12.201180555555556,2016-09-16
2016-09-17,12.581805555555555,2016-09-17
2016-09-18,12.699972222222222,2016-09-18
2016-09-19,12.867965277777778,2016-09-19
2016-09-20,13.712534722222221,2016-09-20
2016-09-21,13.821666666666667,2016-09-21
2016-09-22,13.145340277777779,2016-09-22
2016-09-23,13.369708333333334,2016-09-23
2016-09-24,13.102263888888888,2016-09-24
2016-09-25,13.046854166666668,2016-09-25
2016-09-26,12.999805555555556,2016-09-26
2016-09-27,13.239979166666666,2016-09-27
2016-09-28,13.3654375,2016-09-28
2016-09-29,13.250270833333333,2016-09-29
2016-09-30,13.27003472222222,2016-09-30
2016-10-01,13.25290972222222,2016-10-01
2016-10-02,13.202590277777777,2016-10-02
2016-10-03,13.299902777777778,2016-10-03
2016-10-04,13.4886875,2016-10-04
2016-10-05,13.374451388888888,2016-10-05
2016-10-06,12.995138888888889,2016-10-06
2016-10-07,12.847694444444445,2016-10-07
2016-10-08,12.429493055555556,2016-10-08
2016-10-09,12.470701388888887,2016-10-09
2016-10-10,11.929638888888888,2016-10-10
2016-10-11,11.964194444444443,2016-10-11
2016-10-12,11.832722222222221,2016-10-12
2016-10-13,12.008500000000002,2016-10-13
2016-10-14,12.009791666666665,2016-10-14
2016-10-15,11.905979166666667,2016-10-15
2016-10-16,12.000354166666666,2016-10-16
2016-10-17,11.947131944444443,2016-10-17
2016-10-18,12.524326388888888,2016-10-18
2016-10-19,12.339486111111112,2016-10-19
2016-10-20,12.059784722222222,2016-10-20
2016-10-21,12.04647222222222,2016-10-21
2016-10-22,12.066854166666667,2016-10-22
2016-10-23,12.043888888888889,2016-10-23
2016-10-24,11.983291666666666,2016-10-24
2016-10-25,11.611500000000001,2016-10-25
2016-10-26,11.586722222222223,2016-10-26
2016-10-27,11.474590277777777,2016-10-27
2016-10-28,11.275909722222222,2016-10-28
2016-10-29,10.853548611111112,2016-10-29
2016-10-30,10.677729166666667,2016-10-30
2016-10-31,11.402743055555556,2016-10-31
2016-11-01,10.745902777777777,2016-11-01
2016-11-02,10.986715277777778,2016-11-02
2016-11-03,10.944340277777778,2016-11-03
2016-11-04,11.015131944444445,2016-11-04
2016-11-05,11.132069444444445,2016-11-05
2016-11-06,11.056569444444445,2016-11-06
2016-11-07,11.059527777777777,2016-11-07
2016-11-08,11.054979166666667,2016-11-08
2016-11-09,10.71401388888889,2016-11-09
2016-11-10,10.7876875,2016-11-10
2016-11-11,10.482208333333332,2016-11-11
2016-11-12,10.151326388888888,2016-11-12
2016-11-13,10.162381944444444,2016-11-13
2016-11-14,10.013840277777778,2016-11-14
2016-11-15,10.107326388888888,2016-11-15
2016-11-16,10.164541666666667,2016-11-16
2016-11-17,10.067805555555555,2016-11-17
2016-11-18,9.750097222222221,2016-11-18
2016-11-19,9.7875625,2016-11-19
2016-11-20,9.691798611111112,2016-11-20
2016-11-21,9.567451388888887,2016-11-21
2016-11-22,9.840833333333332,2016-11-22
2016-11-23,9.876534722222221,2016-11-23
2016-11-24,9.609388888888889,2016-11-24
2016-11-25,9.445479166666667,2016-11-25
2016-11-26,9.473284722222223,2016-11-26
2016-11-27,9.176645833333334,2016-11-27
2016-11-28,8.9119375,2016-11-28
2016-11-29,8.394041666666666,2016-11-29
2016-11-30,8.61988888888889,2016-11-30
2016-12-01,8.5500625,2016-12-01
2016-12-02,8.011520833333334,2016-12-02
2016-12-03,7.934986111111111,2016-12-03
2016-12-04,7.869090277777778,2016-12-04
2016-12-05,7.2936805555555555,2016-12-05
2016-12-06,6.879555555555555,2016-12-06
2016-12-07,7.868506944444444,2016-12-07
2016-12-08,8.519659722222222,2016-12-08
2016-12-09,8.355215277777777,2016-12-09
2016-12-10,8.449194444444444,2016-12-10
2016-12-11,8.329090277777777,2016-12-11
2016-12-12,8.466166666666668,2016-12-12
2016-12-13,8.497284722222222,2016-12-13
2016-12-14,8.424833333333334,2016-12-14
2016-12-15,8.014409722222222,2016-12-15
2016-12-16,7.8445833333333335,2016-12-16
2016-12-17,7.701215277777778,2016-12-17
2016-12-18,7.902798611111112,2016-12-18
2016-12-19,7.833013888888888,2016-12-19
2016-12-20,7.705256944444444,2016-12-20
2016-12-21,7.776118055555556,2016-12-21
2016-12-22,7.698666666666667,2016-12-22
2016-12-23,7.432486111111111,2016-12-23
2016-12-24,7.309833333333334,2016-12-24
2016-12-25,7.2734097222222225,2016-12-25
2016-12-26,7.280194444444444,2016-12-26
2016-12-27,7.3902986111111115,2016-12-27
2016-12-28,7.399208333333334,2016-12-28
2016-12-29,8.363229166666667,2016-12-29
2016-12-30,8.406506944444443,2016-12-30
2016-12-31,8.199437499999998,2016-12-31
2017-01-01,8.345736111111112,2017-01-01
2017-01-02,8.282555555555556,2017-01-02
2017-01-03,8.929395833333333,2017-01-03
2017-01-04,10.67,2017-01-04
2017-01-05,10.8508125,2017-01-05
2017-01-06,10.11963888888889,2017-01-06
2017-01-07,9.833180555555556,2017-01-07
2017-01-08,10.072159722222223,2017-01-08
2017-01-09,10.512243055555556,2017-01-09
2017-01-10,10.525576388888888,2017-01-10
2017-01-11,10.173590277777777,2017-01-11
2017-01-12,9.774097222222222,2017-01-12
2017-01-13,9.857631944444444,2017-01-13
