datetime,eth,ds
2016-05-09 13:00:00,9.55,2016-05-09 13:00:00
2016-05-09 14:00:00,10.0,2016-05-09 14:00:00
2016-05-09 15:00:00,9.99,2016-05-09 15:00:00
2016-05-09 16:00:00,9.83,2016-05-09 16:00:00
2016-05-09 17:00:00,9.49,2016-05-09 17:00:00
2016-05-09 18:00:00,9.36,2016-05-09 18:00:00
2016-05-09 19:00:00,9.99,2016-05-09 19:00:00
2016-05-09 20:00:00,9.97,2016-05-09 20:00:00
2016-05-09 21:00:00,9.94,2016-05-09 21:00:00
2016-05-09 22:00:00,9.36,2016-05-09 22:00:00
2016-05-09 23:00:00,9.36,2016-05-09 23:00:00
2016-05-10 00:00:00,9.36,2016-05-10 00:00:00
2016-05-10 01:00:00,9.36,2016-05-10 01:00:00
2016-05-10 02:00:00,9.36,2016-05-10 02:00:00
2016-05-10 03:00:00,9.36,2016-05-10 03:00:00
2016-05-10 04:00:00,9.36,2016-05-10 04:00:00
2016-05-10 05:00:00,9.36,2016-05-10 05:00:00
2016-05-10 06:00:00,9.36,2016-05-10 06:00:00
2016-05-10 07:00:00,9.36,2016-05-10 07:00:00
2016-05-10 08:00:00,9.36,2016-05-10 08:00:00
2016-05-10 09:00:00,9.36,2016-05-10 09:00:00
2016-05-10 10:00:00,9.36,2016-05-10 10:00:00
2016-05-10 11:00:00,9.5,2016-05-10 11:00:00
2016-05-10 12:00:00,9.95,2016-05-10 12:00:00
2016-05-10 13:00:00,9.93,2016-05-10 13:00:00
2016-05-10 14:00:00,9.89,2016-05-10 14:00:00
2016-05-10 15:00:00,9.43,2016-05-10 15:00:00
2016-05-10 16:00:00,9.94,2016-05-10 16:00:00
2016-05-10 17:00:00,9.75,2016-05-10 17:00:00
2016-05-10 18:00:00,9.39,2016-05-10 18:00:00
2016-05-10 19:00:00,9.94,2016-05-10 19:00:00
2016-05-10 20:00:00,9.93,2016-05-10 20:00:00
2016-05-10 21:00:00,9.93,2016-05-10 21:00:00
2016-05-10 22:00:00,9.93,2016-05-10 22:00:00
2016-05-10 23:00:00,9.68,2016-05-10 23:00:00
2016-05-11 00:00:00,9.94,2016-05-11 00:00:00
2016-05-11 01:00:00,9.95,2016-05-11 01:00:00
2016-05-11 02:00:00,9.74,2016-05-11 02:00:00
2016-05-11 03:00:00,9.74,2016-05-11 03:00:00
2016-05-11 04:00:00,9.74,2016-05-11 04:00:00
2016-05-11 05:00:00,9.74,2016-05-11 05:00:00
2016-05-11 06:00:00,9.95,2016-05-11 06:00:00
2016-05-11 07:00:00,9.95,2016-05-11 07:00:00
2016-05-11 08:00:00,9.95,2016-05-11 08:00:00
2016-05-11 09:00:00,9.95,2016-05-11 09:00:00
2016-05-11 10:00:00,9.95,2016-05-11 10:00:00
2016-05-11 11:00:00,9.69,2016-05-11 11:00:00
2016-05-11 12:00:00,9.79,2016-05-11 12:00:00
2016-05-11 13:00:00,9.89,2016-05-11 13:00:00
2016-05-11 14:00:00,9.79,2016-05-11 14:00:00
2016-05-11 15:00:00,9.95,2016-05-11 15:00:00
2016-05-11 16:00:00,9.97,2016-05-11 16:00:00
2016-05-11 17:00:00,9.97,2016-05-11 17:00:00
2016-05-11 18:00:00,9.97,2016-05-11 18:00:00
2016-05-11 19:00:00,9.97,2016-05-11 19:00:00
2016-05-11 20:00:00,10.46,2016-05-11 20:00:00
2016-05-11 21:00:00,9.9,2016-05-11 21:00:00
2016-05-11 22:00:00,9.9,2016-05-11 22:00:00
2016-05-11 23:00:00,10.43,2016-05-11 23:00:00
2016-05-12 00:00:00,10.43,2016-05-12 00:00:00
2016-05-12 01:00:00,10.43,2016-05-12 01:00:00
2016-05-12 02:00:00,10.45,2016-05-12 02:00:00
2016-05-12 03:00:00,10.45,2016-05-12 03:00:00
2016-05-12 04:00:00,10.45,2016-05-12 04:00:00
2016-05-12 05:00:00,10.45,2016-05-12 05:00:00
2016-05-12 06:00:00,10.45,2016-05-12 06:00:00
2016-05-12 07:00:00,10.45,2016-05-12 07:00:00
2016-05-12 08:00:00,10.45,2016-05-12 08:00:00
2016-05-12 09:00:00,10.45,2016-05-12 09:00:00
2016-05-12 10:00:00,10.46,2016-05-12 10:00:00
2016-05-12 11:00:00,10.36,2016-05-12 11:00:00
2016-05-12 12:00:00,10.5,2016-05-12 12:00:00
2016-05-12 13:00:00,10.7,2016-05-12 13:00:00
2016-05-12 14:00:00,11.1,2016-05-12 14:00:00
2016-05-12 15:00:00,10.4,2016-05-12 15:00:00
2016-05-12 16:00:00,11.08,2016-05-12 16:00:00
2016-05-12 17:00:00,11.08,2016-05-12 17:00:00
2016-05-12 18:00:00,10.3,2016-05-12 18:00:00
2016-05-12 19:00:00,10.3,2016-05-12 19:00:00
2016-05-12 20:00:00,10.3,2016-05-12 20:00:00
2016-05-12 21:00:00,10.4,2016-05-12 21:00:00
2016-05-12 22:00:00,10.4,2016-05-12 22:00:00
2016-05-12 23:00:00,10.2,2016-05-12 23:00:00
2016-05-13 00:00:00,10.4,2016-05-13 00:00:00
2016-05-13 01:00:00,10.4,2016-05-13 01:00:00
2016-05-13 02:00:00,10.4,2016-05-13 02:00:00
2016-05-13 03:00:00,10.4,2016-05-13 03:00:00
2016-05-13 04:00:00,10.42,2016-05-13 04:00:00
2016-05-13 05:00:00,10.42,2016-05-13 05:00:00
2016-05-13 06:00:00,10.2,2016-05-13 06:00:00
2016-05-13 07:00:00,10.42,2016-05-13 07:00:00
2016-05-13 08:00:00,10.99,2016-05-13 08:00:00
2016-05-13 09:00:00,10.99,2016-05-13 09:00:00
2016-05-13 10:00:00,11.59,2016-05-13 10:00:00
2016-05-13 11:00:00,11.59,2016-05-13 11:00:00
2016-05-13 12:00:00,11.5,2016-05-13 12:00:00
2016-05-13 13:00:00,11.5,2016-05-13 13:00:00
2016-05-13 14:00:00,11.03,2016-05-13 14:00:00
2016-05-13 15:00:00,10.5,2016-05-13 15:00:00
2016-05-13 16:00:00,10.5,2016-05-13 16:00:00
2016-05-13 17:00:00,10.49,2016-05-13 17:00:00
2016-05-13 18:00:00,10.96,2016-05-13 18:00:00
2016-05-13 19:00:00,10.4,2016-05-13 19:00:00
2016-05-13 20:00:00,10.4,2016-05-13 20:00:00
2016-05-13 21:00:00,10.59,2016-05-13 21:00:00
2016-05-13 22:00:00,10.56,2016-05-13 22:00:00
2016-05-13 23:00:00,10.98,2016-05-13 23:00:00
2016-05-14 00:00:00,10.98,2016-05-14 00:00:00
2016-05-14 01:00:00,10.98,2016-05-14 01:00:00
2016-05-14 02:00:00,10.5,2016-05-14 02:00:00
2016-05-14 03:00:00,10.5,2016-05-14 03:00:00
2016-05-14 04:00:00,10.35,2016-05-14 04:00:00
2016-05-14 05:00:00,10.35,2016-05-14 05:00:00
2016-05-14 06:00:00,10.35,2016-05-14 06:00:00
2016-05-14 07:00:00,10.2,2016-05-14 07:00:00
2016-05-14 08:00:00,10.2,2016-05-14 08:00:00
