datetime,ltc,ds
2018-10-16 13:00:00,54.6,2018-10-16 13:00:00
2018-10-16 14:00:00,53.84,2018-10-16 14:00:00
2018-10-16 15:00:00,53.67,2018-10-16 15:00:00
2018-10-16 16:00:00,52.88,2018-10-16 16:00:00
2018-10-16 17:00:00,52.95,2018-10-16 17:00:00
2018-10-16 18:00:00,53.02,2018-10-16 18:00:00
2018-10-16 19:00:00,52.9,2018-10-16 19:00:00
2018-10-16 20:00:00,53.02,2018-10-16 20:00:00
2018-10-16 21:00:00,53.14,2018-10-16 21:00:00
2018-10-16 22:00:00,53.01,2018-10-16 22:00:00
2018-10-16 23:00:00,53.25,2018-10-16 23:00:00
2018-10-17 00:00:00,53.19,2018-10-17 00:00:00
2018-10-17 01:00:00,53.19,2018-10-17 01:00:00
2018-10-17 02:00:00,53.0,2018-10-17 02:00:00
2018-10-17 03:00:00,52.92,2018-10-17 03:00:00
2018-10-17 04:00:00,52.73,2018-10-17 04:00:00
2018-10-17 05:00:00,52.7,2018-10-17 05:00:00
2018-10-17 06:00:00,54.49,2018-10-17 06:00:00
2018-10-17 07:00:00,52.82,2018-10-17 07:00:00
2018-10-17 08:00:00,52.8,2018-10-17 08:00:00
2018-10-17 09:00:00,52.69,2018-10-17 09:00:00
2018-10-17 10:00:00,52.63,2018-10-17 10:00:00
2018-10-17 11:00:00,52.53,2018-10-17 11:00:00
2018-10-17 12:00:00,52.56,2018-10-17 12:00:00
2018-10-17 13:00:00,52.46,2018-10-17 13:00:00
2018-10-17 14:00:00,53.0,2018-10-17 14:00:00
2018-10-17 15:00:00,52.99,2018-10-17 15:00:00
2018-10-17 16:00:00,52.87,2018-10-17 16:00:00
2018-10-17 17:00:00,52.83,2018-10-17 17:00:00
2018-10-17 18:00:00,52.79,2018-10-17 18:00:00
2018-10-17 19:00:00,52.75,2018-10-17 19:00:00
2018-10-17 20:00:00,52.9,2018-10-17 20:00:00
2018-10-17 21:00:00,53.76,2018-10-17 21:00:00
2018-10-17 22:00:00,53.09,2018-10-17 22:00:00
2018-10-17 23:00:00,53.26,2018-10-17 23:00:00
2018-10-18 00:00:00,53.29,2018-10-18 00:00:00
2018-10-18 01:00:00,53.22,2018-10-18 01:00:00
2018-10-18 02:00:00,53.0,2018-10-18 02:00:00
2018-10-18 03:00:00,53.52,2018-10-18 03:00:00
2018-10-18 04:00:00,53.4,2018-10-18 04:00:00
2018-10-18 05:00:00,53.33,2018-10-18 05:00:00
2018-10-18 06:00:00,52.9,2018-10-18 06:00:00
2018-10-18 07:00:00,52.9,2018-10-18 07:00:00
2018-10-18 08:00:00,53.0,2018-10-18 08:00:00
2018-10-18 09:00:00,52.78,2018-10-18 09:00:00
2018-10-18 10:00:00,52.92,2018-10-18 10:00:00
2018-10-18 11:00:00,52.73,2018-10-18 11:00:00
